buy_rise_pct,sell_drop_pct,final_value,return_pct,trades,buys,sells
9.0,13.0,1095.960836,9.596084,3,2,1
8.5,13.5,1095.960836,9.596084,3,2,1
9.0,13.5,1095.960836,9.596084,3,2,1
16.0,8.0,1095.57582,9.557582,3,2,1
2.0,4.5,1095.039792,9.503979,11,6,5
17.0,7.0,1095.025935,9.502593,3,2,1
2.0,10.0,1094.199547,9.419955,5,3,2
19.0,4.5,1094.183618,9.418362,3,2,1
19.0,5.0,1094.183618,9.418362,3,2,1
19.0,5.5,1094.183618,9.418362,3,2,1
18.5,6.0,1094.152847,9.415285,3,2,1
15.5,8.5,1093.942076,9.394208,3,2,1
5.0,6.5,1093.8193,9.38193,7,4,3
16.5,7.5,1093.674522,9.367452,3,2,1
1.0,1.5,1093.357029,9.335703,57,29,28
1.5,5.0,1093.22109,9.322109,11,6,5
2.5,6.0,1092.701382,9.270138,9,5,4
19.5,4.0,1092.700219,9.270022,4,2,2
17.0,7.5,1092.463466,9.246347,3,2,1
2.5,14.5,1092.362255,9.236226,3,2,1
3.0,14.5,1092.362255,9.236226,3,2,1
3.5,14.5,1092.362255,9.236226,3,2,1
4.0,14.5,1092.362255,9.236226,3,2,1
4.5,14.5,1092.362255,9.236226,3,2,1
5.0,14.5,1092.362255,9.236226,3,2,1
2.5,15.0,1092.362255,9.236226,3,2,1
3.0,15.0,1092.362255,9.236226,3,2,1
3.5,15.0,1092.362255,9.236226,3,2,1
4.0,15.0,1092.362255,9.236226,3,2,1
4.5,15.0,1092.362255,9.236226,3,2,1
5.0,15.0,1092.362255,9.236226,3,2,1
2.5,15.5,1092.362255,9.236226,3,2,1
3.0,15.5,1092.362255,9.236226,3,2,1
3.5,15.5,1092.362255,9.236226,3,2,1
4.0,15.5,1092.362255,9.236226,3,2,1
4.5,15.5,1092.362255,9.236226,3,2,1
5.0,15.5,1092.362255,9.236226,3,2,1
2.5,16.0,1092.362255,9.236226,3,2,1
3.0,16.0,1092.362255,9.236226,3,2,1
3.5,16.0,1092.362255,9.236226,3,2,1
4.0,16.0,1092.362255,9.236226,3,2,1
4.5,16.0,1092.362255,9.236226,3,2,1
5.0,16.0,1092.362255,9.236226,3,2,1
2.5,16.5,1092.362255,9.236226,3,2,1
3.0,16.5,1092.362255,9.236226,3,2,1
3.5,16.5,1092.362255,9.236226,3,2,1
4.0,16.5,1092.362255,9.236226,3,2,1
4.5,16.5,1092.362255,9.236226,3,2,1
5.0,16.5,1092.362255,9.236226,3,2,1
2.5,8.0,1091.940615,9.194062,7,4,3
3.0,7.5,1091.825153,9.182515,7,4,3
8.5,7.0,1091.423921,9.142392,5,3,2
7.5,8.0,1091.331374,9.133137,5,3,2
17.5,7.0,1090.918885,9.091889,3,2,1
13.0,9.0,1090.679417,9.067942,3,2,1
13.5,9.0,1090.679417,9.067942,3,2,1
14.0,9.0,1090.679417,9.067942,3,2,1
